# ZDC LUT for HI running 2023, commissioning implementation
# Scaling factor of 1 used for double -> int conversion
#<header> V1 13 32 </header>

0 1 # Scaling Factor
610 1 # [index ibit=97], [index idet=2]
611 1 # [index ibit=98], [index idet=2]
612 1 # [index ibit=99], [index idet=2]
613 1 # [index ibit=100], [index idet=2]
614 1 # [index ibit=101], [index idet=2]
615 2 # [index ibit=102], [index idet=2]
616 2 # [index ibit=103], [index idet=2]
617 2 # [index ibit=104], [index idet=2]
618 2 # [index ibit=105], [index idet=2]
619 2 # [index ibit=106], [index idet=2]
620 2 # [index ibit=107], [index idet=2]
621 2 # [index ibit=108], [index idet=2]
622 2 # [index ibit=109], [index idet=2]
623 2 # [index ibit=110], [index idet=2]
624 2 # [index ibit=111], [index idet=2]
625 3 # [index ibit=112], [index idet=2]
626 3 # [index ibit=113], [index idet=2]
627 3 # [index ibit=114], [index idet=2]
628 3 # [index ibit=115], [index idet=2]
629 3 # [index ibit=116], [index idet=2]
630 3 # [index ibit=117], [index idet=2]
631 3 # [index ibit=118], [index idet=2]
632 3 # [index ibit=119], [index idet=2]
633 3 # [index ibit=120], [index idet=2]
634 4 # [index ibit=121], [index idet=2]
635 4 # [index ibit=122], [index idet=2]
636 4 # [index ibit=123], [index idet=2]
637 4 # [index ibit=124], [index idet=2]
638 4 # [index ibit=125], [index idet=2]
639 5 # [index ibit=126], [index idet=2]
640 5 # [index ibit=127], [index idet=2]
641 4 # [index ibit=128], [index idet=2]
642 4 # [index ibit=129], [index idet=2]
643 5 # [index ibit=130], [index idet=2]
644 5 # [index ibit=131], [index idet=2]
645 5 # [index ibit=132], [index idet=2]
